country;iso2_code;iso3_code;school_id_giga;school_name;admin1_id_giga;admin2_id_giga;education_level;connectivity;latitude;longitude;school_data_source
Bosnia and Herzegovina;ba;bih;d12639d2-60b2-3eba-9fd8-e4771e5058bd;Osnovna škola Vladimira Nazora Odžak;BIH002;BIH002002;Primary;Yes;45.105079650878906;18.28080940246582;
Bosnia and Herzegovina;ba;bih;31c26ce6-7239-3c68-ba9b-088fc3b5366c;Osnovna škola Vladimira Nazora Odžak;BIH002;BIH002002;Primary;No;45.07912826538086;18.39373016357422;
Bosnia and Herzegovina;ba;bih;2d6fcc1f-da10-3e3e-8c81-7b30e3580c00;Osnovna škola Vladimira Nazora Odžak;BIH002;BIH002002;Primary;Yes;45.07518387;18.424448013305664;
Bosnia and Herzegovina;ba;bih;4e4566b5-5f75-33e0-b86d-577c1f716cf1;Osnovna škola Vladimira Nazora Odžak;BIH002;BIH002002;Primary;Yes;45.053131103515625;18.387990951538086;
Bosnia and Herzegovina;ba;bih;ef5de0a2-3b8b-306c-b033-d93513ba586c;Osnovna škola Vladimira Nazora Odžak;BIH002;BIH002002;Primary;Yes;45.06311035;18.272323608398438;
Bosnia and Herzegovina;ba;bih;f5f79f5d-b3c8-303a-8595-75190c3acdde;"ЈАВНА УСТАНОВА СРЕДЊОШКОЛСКИ ЦЕНТАР ""НИКОЛА ТЕСЛА"" ВУКОСАВЉЕ";BIH001;BIH001003;Secondary;Yes;45.0345459;18.246212005615234;
Bosnia and Herzegovina;ba;bih;6085ed3b-6922-3bbc-93f5-5b29a8998c2a;Osnovna škola Vladimira Nazora Odžak - Područna škola Potočani;BIH001;BIH001003;Primary;Yes;45.043487548828125;18.265155792236328;
Bosnia and Herzegovina;ba;bih;93ff82a6-042a-3353-bbba-865794bb4e77;Osnovna škola Vladimira Nazora Odžak;BIH002;BIH002002;Primary;Yes;45.039520263671875;18.35163116455078;
Bosnia and Herzegovina;ba;bih;6379bca8-66ce-3265-8a12-0d1d4690365a;Osnovna škola Vladimira Nazora Odžak;BIH002;BIH002002;Primary;Yes;45.01735305786133;18.327550888061523;
Bosnia and Herzegovina;ba;bih;d0d4a878-0cd6-3d63-902b-72d31ca7b425;Srednja škola Pere Zečevića Odžak;BIH002;BIH002002;Secondary;Yes;45.01589584350586;18.324487686157227;
Bosnia and Herzegovina;ba;bih;f0482795-6ecf-3057-af84-b7b4c14c00cb;Osnovna škola Vladimira Nazora Odžak;BIH002;BIH002002;Primary;Yes;45.05425262451172;18.30517578;
Bosnia and Herzegovina;ba;bih;d730e323-5d8c-34e3-ab32-9693c8600277;Osnovna škola Vladimira Nazora Odžak;BIH002;BIH002002;Primary;Yes;45.06255340576172;18.602394104003906;
Bosnia and Herzegovina;ba;bih;5b98b2b0-f03a-380c-acc0-e3a262b4173c;Osnovna škola Veselka Tenžere Uzdol;BIH002;BIH002002;Primary;Yes;45.073543548583984;18.589818954467773;
Bosnia and Herzegovina;ba;bih;2efab9de-616a-3aab-b330-1350d684d66d;"ЈАВНА УСТАНОВА ОСНОВНА ШКОЛА""ШАМАЦ"" ШАМАЦ";BIH001;BIH001003;Primary;Yes;45.05272293;18.46149253845215;
Bosnia and Herzegovina;ba;bih;95480a4e-33d6-388f-9560-db619860676a;"ЈАВНА УСТАНОВА ОСНОВНА ШКОЛА""ШАМАЦ"" ШАМАЦ";BIH001;BIH001003;Primary;Yes;45.03859329223633;18.470277786254883;
Bosnia and Herzegovina;ba;bih;6a65b954-ddc0-32a9-978c-0fce92473ea3;"Јавна установа основна школа ""Србија";BIH001;BIH001003;Primary;Yes;45.03306198120117;18.46149253845215;
Bosnia and Herzegovina;ba;bih;6633a91e-3026-354f-9c1a-72a3373e1fea;Osnovna škola Braće Radića Domaljevac;BIH002;BIH002002;Primary;Yes;45.064273834228516;18.577091217041016;
Bosnia and Herzegovina;ba;bih;039eac20-672e-3cef-bc7b-8bd6a6770ce6;"ЈУ Основна школа ""Свети Сава"" Модрича ПШ Дуго Поље";BIH001;BIH001003;Primary;Yes;44.94587326049805;18.167190551757812;
Bosnia and Herzegovina;ba;bih;6a621a25-0bd4-30e4-8e3c-db0c75cb51b5;"ЈУ Основна школа ""Свети Сава"" Модрича, ПШ Ботајица";BIH001;BIH001003;Primary;Yes;44.973445892333984;18.207380294799805;
Bosnia and Herzegovina;ba;bih;fb55031e-562b-3559-ae96-ddb0629e8169;"ЈУ Основна школа ""Свети Сава"" Модрича,  ПШ Бријестово";BIH001;BIH001003;Primary;Yes;44.94384002685547;18.290342330932617;
Bosnia and Herzegovina;ba;bih;139187c1-963f-35a0-b291-3caf98a262aa;"Јавна установа Основна школа ""Алекса Шантић"" Вукосавље";BIH001;BIH001003;Primary;Yes;44.954898834228516;18.30750084;
Bosnia and Herzegovina;ba;bih;1ebc2a64-05d9-3faa-a309-be656a481f30;"Јавна установа Средњошколски центар ""Јован Цвијић"" Модрича";BIH001;BIH001003;Secondary;Yes;44.95310974121094;18.30970573425293;
Bosnia and Herzegovina;ba;bih;68299d05-1fac-3c49-939d-525c38a4ac90;"Јавна установа основна школа ""Сутјеска"" Модрича";BIH001;BIH001003;Primary;Yes;44.94292068481445;18.30363655090332;
Bosnia and Herzegovina;ba;bih;0c214a77-3995-3a30-a533-3078675473d8;"ЈУ Основна школа ""Свети Сава"" Модрича, ПШ Таревци";BIH001;BIH001003;Primary;Yes;44.9528923;18.27296257019043;
Bosnia and Herzegovina;ba;bih;2ebe31d0-2f86-352c-9b8c-62a0b1c54a42;"ЈУ Основна школа ""Свети Сава"" Модрича";BIH001;BIH001003;Primary;Yes;44.956600189208984;18.298574447631836;
Bosnia and Herzegovina;ba;bih;c79ea7aa-4ac6-39ba-879a-be35b2d0e99b;"ЈУ ОШ ""Петар Петровић Његош"" Бољанић";BIH001;BIH001003;Primary;Yes;44.934757232666016;18.10759735107422;
Bosnia and Herzegovina;ba;bih;632e79b2-45b6-3fcb-b7ae-33e90b99d6d9;ЈУ ОШ Ђура Јакшић Подновље ПШ Мајевац;BIH001;BIH001003;Primary;Yes;44.936546325683594;18.10845375061035;
Bosnia and Herzegovina;ba;bih;94f55f64-406f-3502-83d6-63993a4df781;"ЈУ Основна школа ""Свети Сава"" Модрича ПШ Врањак";BIH001;BIH001003;Primary;Yes;44.90746307373047;18.208738327026367;
Bosnia and Herzegovina;ba;bih;3bbf8e84-3b3e-3ca8-a032-8c1f9a8effc3;"Јавна установа Основна школа ""Алекса Шантић"" Вукосавље";BIH001;BIH001003;Primary;Yes;45.008766174316406;18.268096923828125;
Bosnia and Herzegovina;ba;bih;8cf02e53-53db-3183-acaf-c40331be5097;"ЈУ Основна школа ""Горња Слатина";BIH001;BIH001003;Primary;Yes;44.94639969;18.45651626586914;
Bosnia and Herzegovina;ba;bih;8cc275d9-32ae-37d0-9830-3133909ee753;"ЈУ Основна школа ""Горња Слатина"" ПО Гајеви";BIH001;BIH001003;Primary;Yes;44.94144821166992;18.45739174;
Bosnia and Herzegovina;ba;bih;68b4ce6c-2fdd-329a-8577-22f9bc4cd4eb;"Јавна установа основна школа ""Сутјеска"" Модрича";BIH001;BIH001003;Primary;Yes;44.90568923950195;18.34899139404297;
Bosnia and Herzegovina;ba;bih;08e46207-83f8-361e-9433-4c16d5b010c1;"JU Gimnazija ""Mustafa Novalić""Gradačac";BIH002;BIH002003;Other;Yes;44.88373565673828;18.428417205810547;
Bosnia and Herzegovina;ba;bih;f28232bc-f857-33aa-ad21-ab5a3939760e;"Javna ustanova Osnovna škola ""Hamdija Kreševljaković"" Kamberi - Gradačac";BIH002;BIH002003;Primary;Yes;44.88130187988281;18.438100814819336;
Bosnia and Herzegovina;ba;bih;89638fe9-0217-3f44-a1cb-95656131b5aa;"Јавна установа основна школа ""Сутјеска"" Модрича";BIH001;BIH001003;Primary;Yes;44.991966247558594;18.39361572265625;
Bosnia and Herzegovina;ba;bih;a51ca04e-0f5c-3dfd-b94e-e9a5e8f313fa;"JU Srednjoškolski centar ""Nikola Tesla"" Šamac";BIH001;BIH001003;Other;Yes;45.01340103149414;18.510643005371094;
Bosnia and Herzegovina;ba;bih;57fc6a82-e0b4-32ee-be1e-8575505a9263;"Јавна установа основна школа ""Сутјеска"" Модрича МЗ5";BIH001;BIH001003;Primary;Yes;44.96125030517578;18.329090118408203;
Bosnia and Herzegovina;ba;bih;f4cae931-319a-3bfe-b018-73600f340f40;"Јавна установа основна школа ""Сутјеска"" Модрича ПО Доњи Кладари";BIH001;BIH001003;Primary;No;44.972023010253906;18.374265670776367;
Bosnia and Herzegovina;ba;bih;dad79d1d-82b8-3078-a75e-54055c8f6496;"Јавна установа Основна школа ""Алекса Шантић"" Вукосавље";BIH001;BIH001003;Primary;Yes;44.982784271240234;18.31671905517578;
Bosnia and Herzegovina;ba;bih;be00cb24-3f6f-33ad-aeaf-a2afea5fa5d1;"Јавна установа Основна школа ""Свети Сава"" Брод";BIH001;BIH001003;Primary;Yes;45.06218338012695;18.004077911376953;
Bosnia and Herzegovina;ba;bih;5fcccd60-4528-30ef-986f-00256618269a;ЈУ Основна школа „Никола Тесла“ Дервента-ПО Горњи Вишњик;BIH001;BIH001003;Primary;No;45.00500488;18.090892791748047;
Bosnia and Herzegovina;ba;bih;c79f3c26-8a3b-32db-bce6-23f319486070;"Јавна установа Основна школа ""Лијешће";HRV010;HRV010018;Primary;Yes;45.14288330078125;18.024784088134766;
Bosnia and Herzegovina;ba;bih;b1d66c10-774c-37b7-8c68-150ebedee57e;ЈУ Средњошколски центар ''Никола Тесла'' Брод;BIH001;BIH001003;Secondary;Yes;45.123992919921875;17.984994888305664;
