radio;mcc;net;area;cell;unit;lon;lat;range;samples;changeable;created;updated;averageSignal
GSM;218;5;16;551;0;18.0319;44.7569;6241;61;1;1318409407;1721986870;0
GSM;218;5;16;552;0;18.0524;44.7549;5014;62;1;1318763548;1721987822;0
GSM;218;5;16;1692;0;18.0726;44.8448;10819;22;1;1318831969;1722204961;0
GSM;218;5;16;5953;0;18.0168;44.4008;11776;9;1;1319322313;1721992329;0
GSM;218;5;16;843;0;18.0849;44.7344;5046;23;1;1319328497;1722203943;0
GSM;218;5;16;841;0;18.0805;44.7474;4033;10;1;1319328497;1722204122;0
GSM;218;5;16;5571;0;18.3636;45.1319;10690;88;1;1319549500;1722208321;0
GSM;218;5;16;5011;0;18.0912;44.5522;6782;8;1;1320920479;1722480842;0
GSM;218;5;16;5013;0;18.0891;44.5373;7857;22;1;1320940289;1722202561;0
GSM;218;5;16;5332;0;18.0596;44.4726;9425;15;1;1320920479;1722481142;0
GSM;218;5;16;1422;0;18.0876;44.6592;11483;18;1;1321487052;1722479942;0
GSM;218;5;16;514;0;18.1342;44.884;18086;10;1;1327657852;1722205502;0
GSM;218;5;16;12581;0;18.0222;44.4232;3125;5;1;1332101125;1722481682;0
GSM;218;5;16;5331;0;18.064;44.4694;6520;21;1;1332101125;1722202142;0
GSM;218;3;20;2101;0;17.6445;42.8897;9474;50;1;1408560496;1735476482;0
GSM;218;3;20;1094;0;17.601;42.9308;4156;50;1;1436483484;1735402145;0
GSM;218;3;20;1095;0;17.594;42.9337;4910;50;1;1436483484;1735402144;0
GSM;218;3;40;1752;0;18.5445;43.7923;6342;135;1;1436910118;1722490082;0
GSM;218;3;40;1753;0;18.5647;43.8153;2139;107;1;1436910118;1722489542;0
GSM;218;3;40;1112;0;18.5688;43.8118;4157;104;1;1436910118;1722488283;0
GSM;218;3;40;1114;0;18.5614;43.8105;7216;114;1;1436910118;1722081863;0
GSM;218;3;40;3246;0;18.3333;43.8465;3059;50;1;1436910118;1722486182;0
GSM;218;3;40;2332;0;18.4387;43.8545;4836;19;1;1436963246;1722487081;0
GSM;218;3;40;2022;0;18.3266;43.8894;5334;14;1;1436965527;1722485822;0
GSM;218;3;40;1718;0;18.298;43.8989;9058;16;1;1436967294;1722197943;0
